time_mandante;time_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante;resultado;NaN;NaN;NaN;NaN;NaN
Flamengo;Vasco;1;1;0;0;5;6;10;10;10;8;1;2;3;1;17;9;9;3;3;NaN;NaN;NaN;NaN;NaN
Flamengo;Fluminense;0;2;0;0;5;1;15;15;14;15;1;5;3;1;20;12;7;3;3;NaN;NaN;NaN;NaN;NaN
Flamengo;Juventude;4;2;1;1;8;1;8;14;13;8;1;6;2;1;20;5;7;2;1;NaN;NaN;NaN;NaN;NaN
Fortaleza;Criciuma;1;0;0;0;4;6;16;13;13;16;2;3;2;1;16;12;7;7;1;NaN;NaN;NaN;NaN;NaN
Juventude;Atletico Goianiense;1;0;1;0;4;7;13;12;11;12;5;1;1;1;8;22;5;9;1;NaN;NaN;NaN;NaN;NaN
Juventude;Vitoria;1;1;1;1;5;4;16;8;7;16;3;1;1;1;12;18;8;9;3;NaN;NaN;NaN;NaN;NaN
Juventude;Internacional;1;3;0;2;6;4;13;17;14;13;4;4;0;1;14;18;6;8;3;NaN;NaN;NaN;NaN;NaN
Juventude;Fluminense;2;1;0;1;8;5;8;9;9;7;0;3;2;1;12;8;4;5;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Internacional;0;1;0;1;6;2;14;21;21;11;1;3;4;1;18;5;11;3;3;NaN;NaN;NaN;NaN;NaN
Palmeiras;Athletico Paranaense;0;2;0;1;9;6;11;17;17;9;5;5;1;1;23;11;11;2;3;NaN;NaN;NaN;NaN;NaN
Palmeiras;Vasco;2;0;1;0;10;6;10;14;13;10;2;4;1;1;28;9;13;6;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Sao Paulo;2;1;0;0;6;1;17;12;12;16;3;6;2;1;24;8;10;4;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Atletico Mineiro;2;1;1;0;7;3;15;10;10;15;3;6;2;1;15;6;3;2;1;NaN;NaN;NaN;NaN;NaN
Cuiaba;Vitoria;0;0;0;0;4;3;19;14;13;17;4;0;1;1;11;13;7;7;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Atletico Mineiro;0;3;0;1;3;10;11;17;16;11;2;1;2;1;4;13;2;5;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Palmeiras;0;2;0;1;6;6;10;11;9;10;4;1;2;1;9;15;6;6;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Internacional;0;1;0;0;0;2;12;21;21;11;1;3;4;1;8;9;4;3;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Fortaleza;5;0;4;0;5;1;9;6;4;9;0;8;1;1;21;2;5;2;1;NaN;NaN;NaN;NaN;NaN
Cuiaba;RB Bragantino;1;1;1;1;3;11;13;16;16;12;4;1;2;1;5;15;3;6;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Gremio;1;3;0;1;5;5;15;7;6;12;3;3;3;1;15;10;6;4;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Sao Paulo;2;0;2;0;3;7;12;8;8;11;3;1;1;1;7;12;1;7;1;NaN;NaN;NaN;NaN;NaN
Fluminense;Atletico Goianiense;1;2;1;0;3;3;10;12;11;10;5;4;1;1;9;17;4;7;3;NaN;NaN;NaN;NaN;NaN
Fluminense;Athletico Paranaense;1;0;0;0;5;3;9;15;12;9;2;4;1;1;14;6;4;3;1;NaN;NaN;NaN;NaN;NaN
Fluminense;Cruzeiro;1;0;0;0;2;2;19;16;16;19;4;4;1;1;14;13;6;6;1;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Fortaleza;1;2;0;0;11;4;10;14;14;10;0;4;2;1;14;6;5;3;3;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Cruzeiro;2;0;1;0;4;2;18;11;11;17;3;2;0;1;11;10;6;5;1;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Atletico Goianiense;1;0;1;0;3;2;15;8;8;13;6;5;1;1;12;13;2;5;1;NaN;NaN;NaN;NaN;NaN
Sao Paulo;Vasco;3;0;1;0;3;5;8;6;6;8;3;4;1;1;14;9;6;4;1;NaN;NaN;NaN;NaN;NaN
Corinthians;Sao Paulo;2;2;2;2;9;5;15;10;10;15;6;6;1;1;16;12;4;2;3;NaN;NaN;NaN;NaN;NaN
Corinthians;Cuiaba;1;1;0;1;13;1;10;13;12;10;3;6;2;1;24;13;9;3;3;NaN;NaN;NaN;NaN;NaN
Corinthians;RB Bragantino;1;1;0;1;6;6;11;18;18;11;5;4;3;1;19;11;9;3;3;NaN;NaN;NaN;NaN;NaN
Corinthians;Atletico Goianiense;3;0;1;0;6;1;7;17;16;7;3;3;3;1;17;14;5;8;1;NaN;NaN;NaN;NaN;NaN
Vitoria;Atletico Goianiense;0;2;0;1;3;4;7;9;9;7;3;3;0;1;12;12;4;5;3;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Cuiaba;4;0;3;0;7;0;16;9;9;16;0;5;2;1;20;1;6;1;1;NaN;NaN;NaN;NaN;NaN
Athletico Paranaense;Juventude;1;2;1;1;10;4;17;10;9;16;3;6;1;1;23;8;10;2;3;NaN;NaN;NaN;NaN;NaN
Atletico Goianiense;Flamengo;1;2;0;1;4;4;12;12;12;11;0;3;2;1;11;15;5;8;3;NaN;NaN;NaN;NaN;NaN
Atletico Goianiense;Cuiaba;0;0;0;0;8;4;17;15;14;16;0;4;0;1;16;6;7;2;3;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Gremio;2;1;2;1;4;10;15;7;6;14;3;3;0;1;14;14;7;5;1;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;RB Bragantino;3;0;1;0;4;2;14;9;9;14;3;5;2;1;13;8;5;3;1;NaN;NaN;NaN;NaN;NaN
Criciuma;Palmeiras;1;2;0;0;4;6;17;9;7;15;3;3;0;1;12;23;4;11;3;NaN;NaN;NaN;NaN;NaN
Criciuma;Bahia;2;2;1;0;6;7;14;13;11;14;4;3;4;1;17;22;6;10;3;NaN;NaN;NaN;NaN;NaN
Criciuma;Cruzeiro;1;0;0;0;7;10;11;7;6;11;6;5;2;1;13;17;5;10;1;NaN;NaN;NaN;NaN;NaN
Criciuma;RB Bragantino;1;0;1;0;6;8;17;15;15;17;6;1;0;1;14;15;6;9;1;NaN;NaN;NaN;NaN;NaN
Criciuma;Vasco;2;2;1;2;9;10;15;7;5;15;2;6;4;1;19;13;10;5;3;NaN;NaN;NaN;NaN;NaN
Criciuma;Atletico Goianiense;2;0;1;0;7;6;16;8;5;16;3;3;1;1;17;14;7;9;1;NaN;NaN;NaN;NaN;NaN
Internacional;Gremio;1;0;0;0;3;6;14;15;14;14;7;5;1;1;18;9;6;1;1;NaN;NaN;NaN;NaN;NaN
RB Bragantino;Fortaleza;1;2;1;1;9;2;19;13;13;18;5;7;3;1;13;14;2;2;3;NaN;NaN;NaN;NaN;NaN
RB Bragantino;Bahia;2;1;0;0;5;10;8;13;13;7;5;4;3;1;15;16;7;7;1;NaN;NaN;NaN;NaN;NaN
RB Bragantino;Gremio;2;2;1;1;6;7;12;7;7;12;2;4;2;1;23;8;9;3;3;NaN;NaN;NaN;NaN;NaN
Vasco;Gremio;2;1;2;0;3;5;19;10;10;18;1;1;1;1;15;9;7;5;1;NaN;NaN;NaN;NaN;NaN
Vasco;Flamengo;1;6;1;3;1;8;18;6;5;18;12;1;1;1;2;30;0;4;3;NaN;NaN;NaN;NaN;NaN
Vasco;Fortaleza;2;0;1;0;7;3;21;12;12;21;4;7;2;1;19;10;5;4;1;NaN;NaN;NaN;NaN;NaN
Vasco;Cuiaba;1;0;0;0;3;2;16;14;13;15;2;1;0;1;13;13;4;10;1;NaN;NaN;NaN;NaN;NaN
Vasco;Fluminense;2;0;1;0;6;3;23;12;11;23;3;1;2;1;8;12;3;9;1;NaN;NaN;NaN;NaN;NaN
Vasco;Athletico Paranaense;2;1;0;1;4;5;10;11;11;9;3;2;4;1;7;9;1;4;1;NaN;NaN;NaN;NaN;NaN
Vasco;Juventude;1;1;1;1;3;6;14;13;13;14;4;2;3;1;16;17;6;7;3;NaN;NaN;NaN;NaN;NaN
Botafogo;Atletico Goianiense;1;0;1;0;8;8;13;11;11;13;3;3;1;2;13;12;6;4;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Criciuma;1;1;0;0;9;1;12;10;9;11;2;6;1;2;25;6;8;3;3;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Fortaleza;1;2;1;2;5;1;18;17;15;18;2;6;1;2;15;11;5;3;3;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Atletico Mineiro;0;0;0;0;4;4;19;12;12;17;3;1;2;2;6;12;4;4;3;NaN;NaN;NaN;NaN;NaN
Bahia;Fluminense;2;1;1;1;4;3;15;23;20;13;2;3;3;2;12;9;5;3;1;NaN;NaN;NaN;NaN;NaN
Bahia;Gremio;1;0;1;0;4;0;10;15;13;10;2;3;1;2;14;3;5;1;1;NaN;NaN;NaN;NaN;NaN
Bahia;Botafogo;0;0;0;0;4;7;19;21;21;19;5;7;3;2;17;14;9;4;3;NaN;NaN;NaN;NaN;NaN
Flamengo;Sao Paulo;2;1;1;0;9;1;19;19;18;17;2;4;1;2;12;10;4;3;1;NaN;NaN;NaN;NaN;NaN
Flamengo;Palmeiras;1;1;0;0;4;2;15;21;20;14;5;6;1;2;11;9;2;2;3;NaN;NaN;NaN;NaN;NaN
Fortaleza;Cruzeiro;1;1;1;0;7;5;13;10;9;13;4;2;0;2;14;14;6;6;3;NaN;NaN;NaN;NaN;NaN
Fortaleza;RB Bragantino;1;1;1;1;12;6;9;6;6;8;2;4;1;2;22;10;9;4;3;NaN;NaN;NaN;NaN;NaN
